orf_id,orfLenTrimmed_RNA,countORF_RNA,rpkmORF_RNA,orfLenTrimmed_RPF,countORF_RPF,rpkmORF_RPF
ENSDART00000000004,1323,338,2.41012518507235,1311,85,0.162972186667388
ENSDART00000000005,2604,1303,4.72048020417552,2592,331,0.320989077953127
ENSDART00000000042,2475,115,0.438334225429243,2463,15,0.0153081992348603
ENSDART00000000069,1155,2213,18.0751610100916,1143,1153,2.53559762070146
ENSDART00000000070,318,2860,84.8441021247169,306,837,6.87545256576053
ENSDART00000000160,1284,249,1.82943535674121,1272,71,0.140303497106799
ENSDART00000000192,2808,1027,3.45029385777185,2796,183,0.164517151476618
ENSDART00000000221,1401,205094,1381.01235815851,1389,26743,48.3955173974357
ENSDART00000000250,1689,2618,14.6225372892633,1677,338,0.50661832692609
ENSDART00000000280,2178,15,0.0649704879588799,2166,26,0.0301725596368724
ENSDART00000000382,8958,2928,3.08349152551583,8946,617,0.173361848419699
ENSDART00000000392,2577,830,3.03841029369514,2565,481,0.471362431660474
ENSDART00000000488,546,30,0.518335980858756,534,20,0.0941425585904143
ENSDART00000000552,2709,604,2.10334579932969,2697,63,0.0587160540618969
ENSDART00000000566,1344,828,5.8118421853788,1332,250,0.471772956900162
ENSDART00000000670,2790,1175,3.97298026905538,2778,227,0.205395476371721
ENSDART00000000678,1050,4,0.0359379613395404,1038,1,0.00242158604466673
ENSDART00000000693,1215,165,1.28112176997436,1203,53,0.110740760316954
ENSDART00000000698,657,15,0.215381617617109,645,14,0.0545588967458867
ENSDART00000000744,699,319,4.30522895231726,687,169,0.618339835702368
ENSDART00000000831,834,145,1.64015426077489,822,44,0.134548269868636
ENSDART00000000877,1050,6,0.0539069420093107,1038,13,0.0314806185806675
ENSDART00000000887,1017,443,4.10927795405291,1005,129,0.322642004530313
ENSDART00000000948,1662,1016,5.76694000556885,1650,514,0.783026451868563
ENSDART00000001102,2784,437,1.4807950395697,2772,168,0.152339776628125
ENSDART00000001159,1644,1194,6.85149363311768,1632,125,0.192524993440875
ENSDART00000001253,435,467,10.1276892774964,423,292,1.73516086003382
ENSDART00000001318,1107,2013,17.154532968681,1095,327,0.750638597988172
ENSDART00000001331,771,368,4.50273289935098,759,79,0.261627007687432
ENSDART00000001359,654,30,0.432739213377494,642,23,0.0900513165582141
ENSDART00000001376,675,917,12.8158763243617,663,304,1.15254346842636
ENSDART00000001424,888,186,1.97598081351696,876,118,0.338590804902922
ENSDART00000001444,2121,584,2.59749621563015,2109,197,0.234793951602523
